City,Country,Latitude,Longitude
Altstätten-SG,Schweiz,47.3742854,9.5567446
Arbon,Schweiz,47.5149257,9.4304026
Au-ZH,Schweiz,47.2451291,8.6433567
Balzers,Liechtenstein,47.0688822,9.506159
Basel-SBB,Schweiz,47.5476225,7.5896417
Bregenz,Österreich,47.5025779,9.7472924
Buchs-SG,Schweiz,47.1627634,9.4764086
Diepoldsau,Schweiz,47.3859513,9.6556042
Dornbirn-Bahnhof,Österreich,47.4174573,9.7390144
Linz,Österreich,48.3059078,14.286198
Feldkirch-Bahnhof,Österreich,47.2414138,9.6037183
Friedrichshafen-Stadt,Deutschland,47.6532337,9.4737004
Gams,Schweiz,47.2054106,9.4421264
Haag,Schweiz,47.2121059,9.4916597
Heerbrugg,Schweiz,47.4109666,9.6271219
Koblach,Österreich,47.3307636,9.6030862
Konstanz,Deutschland,47.659216,9.1750718
Kreuzlingen,Schweiz,47.6464362,9.1725621
Kriessern,Schweiz,47.3653317,9.6071943
Küssaberg,Deutschland,47.59808615,8.346372029017168
Lindau,Deutschland,47.550753,9.6926624
Lörrach-Stetten,Deutschland,47.6016354,7.6591658
Lustenau,Österreich,47.4276538,9.6599406
Mäder,Österreich,47.3493178,9.6182347
Montlingen-Hirschen,Schweiz,47.3345986,9.588809
Mulhouse,Frankreich,47.7467233,7.3389937
Oberriet-SG,Schweiz,47.320756,9.5675673
Rankweil,Österreich,47.2703808,9.6426923
Rheinfelden-Bahnhof,Schweiz,47.5512694,7.7918324
Romanshorn,Schweiz,47.5654452,9.3776036
Rorschach,Schweiz,47.4779686,9.4914025
Rüthi-SG,Schweiz,47.2955927,9.537187
Mulhouse,Frankreich,47.7467233,7.3389937
St.-Gallen,Schweiz,47.425618,9.3762397
Sargans,Schweiz,47.0482641,9.4401995
Schaan-Bahnhof,Liechtenstein,47.1685026,9.5087593
Schaffhausen-Bahnhof,Schweiz,47.6975062,8.6323953
Sevelen-Bahnhof,Schweiz,47.1245409,9.493475
Singen,Deutschland,47.7617515,8.8348709
St.Margrethen,Schweiz,47.4510277,9.6410249
Überlingen,Deutschland,47.7667246,9.1666488
Waldshut-Tiengen,Deutschland,47.6281754,8.2408579
Weil-am-Rhein,Deutschland,47.5932802,7.6116133
Widnau,Schweiz,47.4053426,9.6356294
Mailand,Italien,45.4641943,9.1896346
Como-S.-Giovanni,Italien,45.8090266,9.0727772
Genève,Schweiz,46.2047169,6.1423106290939335
Lausanne,Schweiz,46.5218269,6.6327025
Sion,Schweiz,46.2311749,7.3588795
Biel/Bienne,Schweiz,47.1402077,7.2439029
